City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
148,Arraial Do Cabo,BR,71.38,clear sky,-22.9661,-42.0278,Pousada Porto Praia
150,Latehar,IN,74.17,clear sky,23.75,84.5,Hotel Raj
154,Moron,AR,73.98,clear sky,-34.6534,-58.6198,Hotel Morón
156,Hermanus,ZA,71.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
158,Cidreira,BR,70.95,clear sky,-30.1811,-50.2056,Hotel Castelo
160,Buchanan,LR,78.62,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
161,Labuhan,ID,88.79,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
168,Santiago,CL,74.86,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
170,Bogande,BF,71.4,overcast clouds,12.9714,-0.1436,Auberge Wendkouni
174,Sulangan,PH,81.39,scattered clouds,11.1373,123.7228,Maia's Beach Resort
175,Varkkallai,IN,85.78,few clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
176,Sinazongwe,ZM,72.79,moderate rain,-17.2614,27.4618,Lakeview Lodge
177,Souillac,MU,89.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
181,Faanui,PF,81.73,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
184,Sao Filipe,CV,76.71,scattered clouds,14.8961,-24.4956,Hotel Xaguate
186,Teknaf,BD,75.76,clear sky,20.8624,92.3058,Forestry Guesthouse
187,Mahebourg,MU,89.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
189,Puerto Leguizamo,CO,72.97,overcast clouds,-0.1934,-74.7819,la casona de juancho
193,Sorong,ID,84.61,light rain,-0.8833,131.25,Waigo Splash Hotel
196,Redcliffe,AU,81.46,broken clouds,-27.2307,153.0973,Redvue Apartments
201,Miramar,US,70.0,clear sky,25.9873,-80.2323,Casa Miramar
203,Meulaboh,ID,84.63,few clouds,4.1363,96.1285,Kost Pria
206,Vao,NC,77.47,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
213,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
222,Neiafu,TO,83.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
223,Gudari,IN,80.82,broken clouds,19.35,83.7833,Hotel maa majhigouri
225,Kirakira,SB,84.04,light rain,-10.4544,161.9205,SanBiz Lodge
230,Kavaratti,IN,81.57,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
231,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
237,Soyo,AO,78.04,overcast clouds,-6.1349,12.3689,Hotel Mpampa
240,Bani,DO,75.85,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
246,Waingapu,ID,88.0,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
248,San Luis,AR,75.6,overcast clouds,-33.295,-66.3356,Huarpes Hotel
249,Campoverde,PE,71.4,few clouds,-8.4753,-74.8058,Hospedaje Coral's
250,Kavieng,PG,83.3,light rain,-2.5744,150.7967,Nusa Island Retreat
254,Sur,OM,77.97,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
263,Along,IN,70.61,clear sky,28.1667,94.7667,Hotel West
265,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
267,Mogadishu,SO,84.07,scattered clouds,2.0371,45.3438,Hotel Juba
270,Kieta,PG,81.39,light rain,-6.2167,155.6333,Uruna Bay Retreat
271,Phatthalung,TH,89.55,scattered clouds,7.5,100.0833,Ozone Resort & Pool Villa
273,Lahat,ID,84.38,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
274,Kahului,US,72.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
276,Port Blair,IN,81.39,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
282,Rangapara,IN,72.28,clear sky,26.8167,92.65,Bidhan
287,Alyangula,AU,82.27,light rain,-13.8483,136.4192,Groote Eylandt Lodge
290,Bahia Blanca,AR,73.47,clear sky,-38.7196,-62.2724,Hotel Argos
291,Praya,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
292,Bubaque,GW,78.87,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
293,Mae Sai,TH,80.44,clear sky,20.4335,99.8762,Piyaporn Hill Paradise Hotel
297,Kondoa,TZ,70.43,overcast clouds,-4.9,35.7833,Kinyuma Lodge
298,Ambilobe,MG,90.0,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
303,Dhone,IN,80.35,clear sky,15.4167,77.8833,Pennera Rakesh
304,Chhindwara,IN,73.65,few clouds,22.0667,78.9333,STARiHOTELS Chhindwara
306,Senador Jose Porfirio,BR,72.9,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
307,Metro,ID,86.38,moderate rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
308,Turan,VN,73.38,mist,16.0678,108.2208,Sun River Hotel
310,Tezu,IN,73.47,broken clouds,27.9167,96.1667,Circuit House
311,Paine,CL,76.71,overcast clouds,-33.8167,-70.75,Hotel El Almendro
315,San Policarpo,PH,80.8,broken clouds,12.1791,125.5072,Agapita M. Nicart
316,Ruteng,ID,75.7,few clouds,-8.6136,120.4721,Hotel FX 72
319,Cabo San Lucas,MX,73.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
320,Santiago Del Estero,AR,70.81,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
322,Inhambane,MZ,84.18,broken clouds,-23.865,35.3833,Oceano
324,Anloga,GH,79.02,few clouds,5.7947,0.8973,Pin Drop Hotel
325,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
332,Kaeo,NZ,74.32,scattered clouds,-35.1,173.7833,Bushido Lodge
335,Hervey Bay,AU,81.03,light rain,-25.2986,152.8535,Shelly Bay Resort
337,Mucurapo,TT,72.25,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
343,West Bay,KY,78.01,few clouds,19.3667,-81.4167,Calypso Cove
346,Lazaro Cardenas,MX,77.41,broken clouds,17.9583,-102.2,quinta antigua
347,Presidencia Roque Saenz Pena,AR,72.77,few clouds,-26.7852,-60.4388,Hotel Aconcagua
348,Mbandaka,CD,70.47,moderate rain,0.0487,18.2603,Guest House Epervier
350,Bandarbeyla,SO,80.04,broken clouds,9.4942,50.8122,JABIR HOTEL
358,Mutoko,ZW,73.15,overcast clouds,-17.397,32.2268,Mutoko Hotel
360,Dhidhdhoo,MV,81.32,clear sky,6.8833,73.1,Dhidhoo beach
362,Bugko,PH,79.79,broken clouds,12.5356,124.7923,Sangkay Beach Resort
363,Kisangani,CD,74.98,light rain,0.5167,25.2,Grand Ramela Hotel
364,Otane,NZ,71.01,few clouds,-39.8833,176.6333,Ludlow Farmstay
367,Cam Ranh,VN,82.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
368,Srikakulam,IN,79.07,scattered clouds,18.3,83.9,Micro Systems
370,Emerald,AU,84.97,thunderstorm,-23.5333,148.1667,The Irish Village
371,Acara,BR,73.35,overcast clouds,-1.9608,-48.1967,Hotel Vale do Acará
372,Pak Phanang,TH,89.62,scattered clouds,8.3511,100.202,Green Park Inn Hotel
374,Daoukro,CI,71.47,few clouds,7.0591,-3.9631,Komenan brou roseline
375,Sambava,MG,86.97,overcast clouds,-14.2667,50.1667,Melrose
381,Christchurch,NZ,80.8,clear sky,-43.5333,172.6333,The George
385,Martapura,ID,89.69,thunderstorm,-3.4167,114.85,Montana Hotel Syariah
387,Phan Thiet,VN,84.24,clear sky,10.9333,108.1,Hotel Saigon-PT
389,Dingle,PH,81.5,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
392,Yanam,IN,82.8,clear sky,16.7333,82.2167,The Regency Hotel
394,Mangrol,IN,78.24,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
395,Lorengau,PG,83.46,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
397,Morant Bay,JM,78.42,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
399,Bigaan,PH,78.91,overcast clouds,8.3172,126.2811,Florland Resort
