City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Arraial Do Cabo,BR,-22.9661,-42.0278,71.38,75,9,9.13,clear sky
149,Arman,RU,59.7,150.1667,-20.99,77,0,11.9,clear sky
150,Latehar,IN,23.75,84.5,74.17,32,0,3.96,clear sky
151,Adrar,MR,20.5022,-10.0711,60.91,28,0,8.39,clear sky
152,Dikson,RU,73.5069,80.5464,-14.6,100,22,6.98,few clouds
153,Tucumcari,US,35.1717,-103.725,44.44,57,1,8.05,clear sky
154,Moron,AR,-34.6534,-58.6198,73.98,85,0,3.0,clear sky
155,Udomlya,RU,57.8794,34.9925,19.08,91,100,9.33,overcast clouds
156,Hermanus,ZA,-34.4187,19.2345,71.91,86,98,10.96,overcast clouds
157,Whitehorse,CA,60.7161,-135.0538,-6.7,76,90,4.0,light snow
158,Cidreira,BR,-30.1811,-50.2056,70.95,86,4,13.85,clear sky
159,Fortuna,US,40.5982,-124.1573,39.65,95,90,1.01,light rain
160,Buchanan,LR,5.8808,-10.0467,78.62,87,40,3.02,scattered clouds
161,Labuhan,ID,-6.8844,112.2051,88.79,61,69,8.77,broken clouds
162,Bam,IR,29.106,58.357,58.32,21,22,8.39,few clouds
163,Nikolskoye,RU,59.7035,30.7861,-3.98,94,100,6.96,overcast clouds
164,Husavik,IS,66.0449,-17.3389,24.71,76,100,2.93,overcast clouds
165,Margate,GB,51.3813,1.3862,44.89,95,100,3.0,light rain
166,Saint George,US,37.1041,-113.5841,49.62,60,90,1.99,overcast clouds
167,Kabinda,CD,-6.1333,24.4833,69.35,92,100,3.62,overcast clouds
168,Santiago,CL,-33.4569,-70.6483,74.86,45,0,6.91,clear sky
169,Kenai,US,60.5544,-151.2583,17.69,96,1,3.44,clear sky
170,Bogande,BF,12.9714,-0.1436,71.4,13,100,7.2,overcast clouds
171,Aklavik,CA,68.2191,-135.0107,-10.48,90,48,13.69,scattered clouds
172,Zhigansk,RU,66.7697,123.3711,-41.1,99,100,3.13,overcast clouds
173,Maneadero,MX,31.7167,-116.5667,53.1,90,100,3.49,overcast clouds
174,Sulangan,PH,11.1373,123.7228,81.39,78,25,12.93,scattered clouds
175,Varkkallai,IN,8.7341,76.7067,85.78,52,18,5.03,few clouds
176,Sinazongwe,ZM,-17.2614,27.4618,72.79,92,100,3.49,moderate rain
177,Souillac,MU,-20.5167,57.5167,89.98,58,75,12.66,broken clouds
178,Boguchany,RU,58.3814,97.4531,1.78,91,100,1.81,overcast clouds
179,Mount Gambier,AU,-37.8333,140.7667,62.51,55,90,19.57,overcast clouds
180,Baoro,CF,5.6667,15.9667,73.83,31,100,1.48,overcast clouds
181,Faanui,PF,-16.4833,-151.75,81.73,68,27,11.05,scattered clouds
182,Kalanguy,RU,51.0167,116.5167,-1.16,87,72,1.95,broken clouds
183,Dumas,US,35.8656,-101.9732,54.82,52,1,5.75,clear sky
184,Sao Filipe,CV,14.8961,-24.4956,76.71,63,44,8.5,scattered clouds
185,Blonie,PL,52.1985,20.6171,19.11,95,6,8.14,clear sky
186,Teknaf,BD,20.8624,92.3058,75.76,51,0,4.34,clear sky
187,Mahebourg,MU,-20.4081,57.7,89.89,58,75,12.66,broken clouds
188,Itumbiara,BR,-18.4192,-49.2153,68.67,77,10,0.87,clear sky
189,Puerto Leguizamo,CO,-0.1934,-74.7819,72.97,96,90,1.34,overcast clouds
190,Mar Del Plata,AR,-38.0023,-57.5575,59.88,91,0,3.0,clear sky
191,Hefei,CN,31.8639,117.2808,32.02,32,0,13.42,clear sky
